rank,MOF_Name,predicted_benzene_adsorption,predicted_toluene_adsorption,mean_predicted_adsorption,min_predicted_adsorption,benzene_percentile,toluene_percentile,balanced_score,min_percentile
51,hMOF-5059181-(id:118193),723.2169154788551,1083.5535,903.385191137865,723.2169154788551,0.9994570052458815,0.9996594778660612,0.9995582313026516,0.9994570052458815
52,hMOF-5059229-(id:118223),723.2169154788551,1083.5535,903.385191137865,723.2169154788551,0.9994570052458815,0.9996594778660612,0.9995582313026516,0.9994570052458815
53,hMOF-5059343-(id:118273),723.2169154788551,1083.5535,903.385191137865,723.2169154788551,0.9994570052458815,0.9996594778660612,0.9995582313026516,0.9994570052458815
54,hMOF-5059196-(id:118208),723.2169154788551,1083.5535,903.385191137865,723.2169154788551,0.9994570052458815,0.9996594778660612,0.9995582313026516,0.9994570052458815
55,hMOF-5059199-(id:163802),723.2169154788551,1083.5535,903.385191137865,723.2169154788551,0.9994570052458815,0.9996594778660612,0.9995582313026516,0.9994570052458815
56,hMOF-5034192-(id:93911),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
57,hMOF-5034028-(id:93830),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
58,hMOF-5034164-(id:93882),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
59,hMOF-5034118-(id:163103),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
60,hMOF-5034143-(id:93886),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
61,hMOF-5033988-(id:163043),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
62,hMOF-5034158-(id:93804),720.0786982059022,1090.3156,905.1971249818572,720.0786982059022,0.9993005491302881,0.9998097984477099,0.9995551089264295,0.9993005491302881
63,RENWEM01_clean-(id:181834),761.3519363697129,1018.1818,889.7668800500908,761.3519363697129,0.9998926281559652,0.9991502285486394,0.9995212904970345,0.9991502285486394
64,RENWEM01_clean-(id:171971),761.3519363697129,1018.1818,889.7668800500908,761.3519363697129,0.9998926281559652,0.9991502285486394,0.9995212904970345,0.9991502285486394
65,hMOF-22699-(id:37726),751.4915924905465,1017.6575,884.5745315968358,751.4915924905465,0.9998282050495444,0.9991410252477222,0.9994844970337387,0.9991410252477222
66,hMOF-22663-(id:37690),745.7964640414637,1019.8074,882.8019185441693,745.7964640414637,0.999751510875234,0.9991717029174464,0.9994615228067498,0.9991717029174464
67,hMOF-22674-(id:37701),745.7964640414637,1019.8074,882.8019185441693,745.7964640414637,0.999751510875234,0.9991717029174464,0.9994615228067498,0.9991717029174464
68,hMOF-22651-(id:37678),745.7964640414637,1019.8074,882.8019185441693,745.7964640414637,0.999751510875234,0.9991717029174464,0.9994615228067498,0.9991717029174464
69,hMOF-22655-(id:37683),742.6652213040218,1021.95996,882.3125911207609,742.6652213040218,0.9997177654385373,0.9991839739853361,0.9994507984394699,0.9991839739853361
70,hMOF-5034025-(id:93828),716.0057212951878,1091.04,903.522880178844,716.0057212951878,0.9990367211706599,0.9998650182532135,0.9994506980986845,0.9990367211706599
71,LUFQUZ_clean-(id:179360),740.8956649350525,1006.4779,873.686785104245,740.8956649350525,0.9996993588367028,0.9990244501027702,0.999361790521577,0.9990244501027702
72,IGAHED_clean-(id:170548),720.8731335016282,1050.189,885.5310491726891,720.8731335016282,0.999364972236709,0.9993527011688192,0.9993588366650951,0.9993527011688192
73,IGAHED_clean-(id:177764),720.8731335016282,1050.189,885.5310491726891,720.8731335016282,0.999364972236709,0.9993527011688192,0.9993588366650951,0.9993527011688192
74,LUFQUZ01_clean-(id:179361),733.6135707764962,1009.57556,871.5945661499668,733.6135707764962,0.9996380034972544,0.9990551277724944,0.9993464806433102,0.9990551277724944
75,hMOF-1002213-(id:54483),729.8927968620652,1008.936,869.4143854915794,729.8927968620652,0.9996195968954198,0.9990428567046047,0.9993311435870497,0.9990428567046047
76,hMOF-32189-(id:47162),707.1623668647061,1063.9052,885.5337591159469,707.1623668647061,0.9989262815596527,0.9995889192256956,0.9992574905389496,0.9989262815596527
77,hMOF-5060328-(id:119152),695.5276482925365,1112.6221,904.0748593025182,695.5276482925365,0.9985090652514035,0.9999447801944964,0.9992264070049105,0.9985090652514035
78,hMOF-31415-(id:46389),702.8072185604734,1062.2823,882.5447835966429,702.8072185604734,0.9988649262202043,0.9995398349541369,0.999202266620819,0.9988649262202043
79,hMOF-32206-(id:47178),707.1623668647061,1055.8226,881.4924993503219,707.1623668647061,0.9989262815596527,0.9994079209743227,0.999167043224513,0.9989262815596527
80,hMOF-32180-(id:47151),707.1623668647061,1055.8226,881.4924993503219,707.1623668647061,0.9989262815596527,0.9994079209743227,0.999167043224513,0.9989262815596527
81,hMOF-32183-(id:47155),707.1623668647061,1055.8226,881.4924993503219,707.1623668647061,0.9989262815596527,0.9994079209743227,0.999167043224513,0.9989262815596527
82,hMOF-32197-(id:47169),707.1623668647061,1055.8226,881.4924993503219,707.1623668647061,0.9989262815596527,0.9994079209743227,0.999167043224513,0.9989262815596527
83,hMOF-5059184-(id:118196),692.1589373225534,1102.1628,897.1608895597142,692.1589373225534,0.9983955578734239,0.9999263735926619,0.9991603793918912,0.9983955578734239
84,hMOF-5059245-(id:118232),692.1589373225534,1102.1628,897.1608895597142,692.1589373225534,0.9983955578734239,0.9999263735926619,0.9991603793918912,0.9983955578734239
85,GIFKAH_clean-(id:173161),764.8664123071529,990.34033,877.6033721692015,764.8664123071529,0.9999386446605516,0.9982759149614995,0.9991065880259421,0.9982759149614995
86,hMOF-1000890-(id:53489),702.744640871817,1044.3712,873.5579283460647,702.744640871817,0.9988587906862595,0.9993250912660674,0.9990918865676998,0.9988587906862595
87,HAKWUM_clean-(id:177153),747.794283379134,987.372,867.5831463282389,747.794283379134,0.999788324078903,0.9982483050587477,0.999017721071552,0.9982483050587477
88,HAKWUM_clean-(id:170350),747.794283379134,987.372,867.5831463282389,747.794283379134,0.999788324078903,0.9982483050587477,0.999017721071552,0.9982483050587477
89,hMOF-21687-(id:36789),699.9511726810388,1028.709,864.3300785280194,699.9511726810388,0.9987851642789214,0.99922692272295,0.999005994664764,0.9987851642789214
90,hMOF-31101-(id:46075),699.5414456079919,1030.2448,864.8930982922773,699.5414456079919,0.9987483510752523,0.9992453293247845,0.9989967783911691,0.9987483510752523
91,hMOF-1001065-(id:53665),696.3443792938864,1051.192,873.7681979477245,696.3443792938864,0.9985704205908519,0.9993711077706537,0.9989706037406321,0.9985704205908519
92,hMOF-1001039-(id:53640),696.3443792938864,1051.192,873.7681979477245,696.3443792938864,0.9985704205908519,0.9993711077706537,0.9989706037406321,0.9985704205908519
