MOF,Linker_ID,SMILES,SA_Score,Pred_Tox_IBC50,Pred_Tox_IGC50,Pred_Tox_LC50,Pred_Tox_LC50DM,Mean_Tox,CoPriNet_log_USD_per_mmol,ExactMolWt,CoPriNet_USD_per_mmol,CoPriNet_USD_per_g,CoPriNet_log_USD_per_g,CoPriNet_valid_price,Price_rank_by_row
IFEPUG_clean-(id:173217),0,c1nc2cc3ccccc3cc2n1c1ccc(C(=O)[O])cc1,2.369,5.698790675331809,4.8042860444830735,5.621992827249181,6.554360371993716,5.6698574797644445,2.940813064575196,287.082052592,18.931232370883382,65.9436290076565,4.188800271125523,True,150
IFEQAN_clean-(id:173218),0,c1nc2cc3ccccc3cc2n1c1ccc(C(=O)[O])cc1,2.369,5.698790675331809,4.8042860444830735,5.621992827249181,6.554360371993716,5.6698574797644445,2.9408133029937744,287.082052592,18.93123688444144,65.94364472984468,4.188800509544101,True,151
IFENOY_clean-(id:177739),0,c1nc2cc3ccccc3cc2n1c1ccc(cc1)C(=O)[O],2.369,5.698790675331809,4.8042860444830735,5.621992827249181,6.554360371993716,5.6698574797644445,2.940814256668091,287.082052592,18.93125493868444,65.94370761863499,4.188801463218418,True,152
IMAGAG_clean-(id:177892),0,C(CNCc1ccncc1)NCc1ccncc1,2.001,5.121092416130447,3.3530858328426536,3.904434039911679,5.380227582952198,4.439709967959244,2.7747395038604736,242.153146576,16.034449539369238,66.2161519108603,4.192924419751967,True,153
LONWIW_clean-(id:179302),0,Oc1c(C(=O)[O])cc(c(c1)C(=O)[O])O,3.342,3.992716551516093,3.4423710648498824,3.649941146308584,3.7281027308373,3.703282873377965,2.564582586288452,196.000787848,12.995232849030115,66.30194190396833,4.194219186415498,True,154
NOSTUM01_clean-(id:180306),0,Oc1c(C(=O)[O])cc(c(C(=O)[O])c1)O,3.342,3.992716551516093,3.4423710648498824,3.649941146308584,3.7281027308373,3.703282873377965,2.5646021366119385,196.000787848,12.9954869125196,66.3032381410512,4.194238736738984,True,155
OSAWEL_clean-(id:180743),0,c1c(C(=O)[O])c(cc(C(=O)[O])c1O)O,3.342,3.992716551516093,3.4423710648498824,3.649941146308584,3.7281027308373,3.703282873377965,2.564605474472046,196.000787848,12.995530289709334,66.30345945235415,4.194242074599091,True,156
OSAWEL_clean-(id:171574),0,c1c(C(=O)[O])c(cc(C(=O)[O])c1O)O,3.342,3.992716551516093,3.4423710648498824,3.649941146308584,3.7281027308373,3.703282873377965,2.564605712890625,196.000787848,12.99553338808557,66.30347526033262,4.194242313017671,True,157
VAGTAA_clean-(id:172447),0,c1c(C(=O)[O])c(cc(C(=O)[O])c1O)O,3.342,3.992716551516093,3.4423710648498824,3.649941146308584,3.7281027308373,3.703282873377965,2.5646092891693115,196.000787848,12.99557986381775,66.30371238046203,4.194245889296357,True,158
VAGTAA_clean-(id:183407),0,c1c(C(=O)[O])c(cc(C(=O)[O])c1O)O,3.342,3.992716551516093,3.4423710648498824,3.649941146308584,3.7281027308373,3.703282873377965,2.5646097660064697,196.000787848,12.9955860605946,66.30374399654336,4.194246366133515,True,159
KIBYAW_charged-(id:170772),1,c1cc(ccn1)CSCc1c(CSCc2ccncc2)cc(CSCc2ccncc2)c(c1)CSCc1ccncc1,2.711,4.429653665732245,4.5327414161506425,5.953167064755189,7.062150676300422,5.494428205734625,3.7348439693450928,626.166631088,41.881490256908656,66.88553521949451,4.20298272880112,True,160
DAPVUM_clean-(id:175359),0,c1n(ccn1)Cc1ccc(Cn2cncc2)cc1,2.14,5.152723375408693,3.84754014074647,4.009711908782739,5.853507596007093,4.715870755236249,2.770313501358032,238.121846448,15.963637847542412,67.03978692282014,4.205286277809888,True,161
DAPWAT_clean-(id:175360),0,c1n(ccn1)Cc1ccc(Cn2cncc2)cc1,2.14,5.152723375408693,3.84754014074647,4.009711908782739,5.853507596007093,4.715870755236249,2.770313739776612,238.121846448,15.963641653570734,67.03980290635283,4.205286516228468,True,162
ALANAD_clean-(id:169181),0,c1c(C(=O)[O])cc(cc1C(=O)[O])n1c(=O)c2cc3c(c(=O)n(c4cc(cc(c4)C(=O)[O])C(=O)[O])c3=O)cc2c1=O,3.34,4.481318300181282,2.353271675522248,3.009275875336372,5.259126233007445,3.775748021011837,3.593466520309448,540.007723696,36.359900046503554,67.33218517254494,4.209638356694813,True,163
XAYMUF_charged-(id:172833),1,c1c(c2cnccn2)nccn1,2.295,4.445483148441075,3.884099148586047,3.026457033021214,5.161470530925454,4.129377465243447,2.371048927307129,158.059246192,10.70861895794596,67.7506644877822,4.215834267649457,True,164
XAYMUF_charged-(id:184536),1,c1c(c2cnccn2)nccn1,2.295,4.445483148441075,3.884099148586047,3.026457033021214,5.161470530925454,4.129377465243447,2.371056318283081,158.059246192,10.708698105383649,67.75116523316468,4.2158416586254095,True,165
c5ce00677e_c5ce00677e2_clean-(id:185759),0,[CH]1C=C(C=CN1CC(=O)[O])C(=O)[O],4.474,3.5653018355214767,3.089027514195844,3.031476336633463,4.304819535719536,3.49765630551758,2.505460739135742,180.029682672,12.249201352311667,68.03989859066048,4.220094277089462,True,166
NUNSOG_clean-(id:180350),0,N(Cc1ccncc1)CCCNCc1ccncc1,2.011,5.025140203750826,3.6616814146695735,3.9236300809944655,5.681357687991588,4.572952346851613,2.8630855083465576,256.16879664,17.515487829268242,68.37479060294439,4.2250041982576665,True,167
NUCCEV_clean-(id:180312),0,[nH]1c(c(c2ccc(C(=O)[O])cc2)c(C)n1)C,2.623,4.8597994705738055,3.9924413777663865,4.524176575238805,5.529263568875924,4.72642024811373,2.6944825649261475,215.082052592,14.797859840264188,68.80099786073269,4.231218248623838,True,168
TUMDAI_clean-(id:182896),0,c1c(C(=O)[O])cc(cc1C(=O)[O])n1c(C)nnc1c1ncccn1,3.21,4.579133037717671,3.089457925493704,3.7700370488636232,5.792207862083388,4.307708968539597,3.119169235229492,323.06545376800005,22.627573641551724,70.04021438268992,4.249069568273759,True,169
WAHMUP_clean-(id:173566),0,C(Cn1cncn1)n1cncn1,2.619,4.59962890227185,3.12785443747477,2.8525878107896347,4.26704646861452,3.7117794047876935,2.4439809322357178,164.08104425599998,11.518805172637672,70.2019250600696,4.251375733163889,True,170
CUKZOY_clean-(id:175205),0,c1nccn1CCCCn1cncc1,2.344,4.769665607145013,3.4730078336495507,3.486494785110815,5.662213068989167,4.347845323723637,2.595782995223999,190.121846448,13.407080933001817,70.51836063810147,4.255873110494023,True,171
SIVSOH_clean-(id:182359),0,c1n(ccn1)CCCCn1ccnc1,2.344,4.769665607145013,3.4730078336495507,3.486494785110815,5.662213068989167,4.347845323723637,2.5958468914031982,190.121846448,13.407937621616922,70.52286663586614,4.255937006673223,True,172
CAWDOU02_clean-(id:169450),0,c1cc(ccn1)c1nnc(c2ccncc2)o1,2.054,5.018275062942221,4.206603917932003,4.1984838637492325,5.740477518657681,4.790960090820284,2.760283231735229,224.069810876,15.80431859898822,70.53301173059103,4.256080851720446,True,173
CAWDOU02_clean-(id:174791),0,c1cc(ccn1)c1nnc(c2ccncc2)o1,2.054,5.018275062942221,4.206603917932003,4.1984838637492325,5.740477518657681,4.790960090820284,2.760283231735229,224.069810876,15.80431859898822,70.53301173059103,4.256080851720446,True,174
YINCEF_clean-(id:185793),0,c1c(C(=O)[O])cc(cc1Oc1ccc(C(=O)[O])cc1)Oc1ccc(cc1)C(=O)[O],2.706,5.447904769238335,4.959992733765612,5.531511597614326,6.265538855861521,5.551236989119948,3.319954633712769,391.045392312,27.659095739571857,70.73116390923674,4.258886266578231,True,175
YINDOQ_clean-(id:185320),0,c1c(C(=O)[O])ccc(c1)Oc1cc(cc(C(=O)[O])c1)Oc1ccc(C(=O)[O])cc1,2.706,5.447904769238335,4.959992733765612,5.531511597614326,6.265538855861521,5.551236989119948,3.3199551105499268,391.045392312,27.6591089284596,70.73119763649194,4.258886743415388,True,176
YINCIJ_clean-(id:185247),0,c1c(cc(cc1Oc1ccc(cc1)C(=O)[O])Oc1ccc(C(=O)[O])cc1)C(=O)[O],2.706,5.447904769238335,4.959992733765612,5.531511597614326,6.265538855861521,5.551236989119948,3.3200252056121826,391.04539231199993,27.661047763372466,70.7361557179602,4.258956838477644,True,177
GEDLIM_clean-(id:170186),0,c1c(C(=O)[O])ccc(c1)n1cnnc1C,2.753,4.026996830523778,3.471215300074838,3.33813269546864,5.538383527664014,4.093682088432818,2.662171125411988,202.061651496,14.327361854455852,70.90589306966778,4.261353548132879,True,178
