filename,Benzene adsorption(mg/g)
GEVXAI,172.3907859
RAXDAX,172.1177791
MAZTIR,171.8502941
XIHRIQ,171.691608
MURNIX,171.6702882
OSIWUJ,171.3717642
CIFDOM,171.3114139
IDAGOL,171.2397906
TERFUT,171.044389
UTOTUT,170.4458337
CEBDOD,170.3144693
PUPNAQ,170.2063826
XEQRAO,169.3978601
JOGBIR,169.2502267
DEQVIF,168.570425
VUQKAU,168.4676803
AMOZAE,168.4359391
KINFAQ,168.4062647
SEFSOM,167.9469314
RUVMAX,167.7058561
FUNBAS,167.3323033
CUYHIO,166.9159056
WERKUZ,166.8247538
OVIWIA,166.234866
OKITAE,166.0515729
SEQSOY,165.8334001
GETXAG,165.7759606
XALTOV,165.6995591
BETGAK,165.3928131
XEXLIX,165.2367002
BETFUD,164.9725264
UHAXUW,164.9390036
BETFEN,164.6987375
ANUGIA,163.6776351
ZILBED,163.288696
PENNUT,163.1705025
GAXVUY,162.3419032
WICGEV,162.2999296
UWOWAF,162.2417528
QUPHIT,162.0821333
BETFAJ,161.5014042
FIQYOU,160.8901134
NIHBEM,159.6936534
LUSHOX,159.5228304
ISIMAZ,159.3610336
OJIWIO,158.9372115
FEYJOJ,158.5622621
GIKQIC,157.6270044
ECUTON,157.6129045
EDAFUM,157.5616781
REYBAA,155.9066389
OSOMIT,155.4950714
IJANEN,155.0778652
GEDQIR,154.9448918
WOPDEL,154.3681434
KIYMIP,154.2528079
KABXES,154.2178907
QAHMUJ,153.9679948
AMUXAI,153.9329981
XUMVAD,153.6261316
XADGAM,153.5641176
BEPNUH,153.3062112
FUTDII,152.8930619
XINHOT,152.8723409
IBICAZ,152.3724995
OCAQOY,152.2745013
KAVLID,151.951602
GIYSEN,151.9444205
BIBXUH,151.6031429
WIDZOA,151.2784286
MADVUJ,150.9421622
MIHLIZ,150.4680118
TADYEE,149.9738563
AQUCOF,149.9473788
GEDLIM,149.9067236
TEYLIU,149.7987102
OKILEA,149.4859155
ALIXOJ,149.4797447
LESWAI,149.2283008
AZIXUD,148.6318913
IZEBEV,148.6195369
RIVDEF,148.5907659
EBEMII,148.5017704
IQIPAZ,148.2430167
KIFXOO,148.1382572
CIVTEH,148.0580056
PIDMEV,147.8720058
LOJFUL,147.5089451
WUHJIT,147.2821042
CEDFIC,146.4605142
GAXWAF,146.3438898
MAJHUC,146.3283166
UJAQUS,145.6513047
WAZQUL,145.4851082
GAXQIH,144.8993298
KOBPIB,144.8149738
YARYOF,144.2055406
COYTOA,143.7720651
XEXLUJ,143.4645759
UZANEP,143.1376173
WOLRIZ,143.0490872
SAQQIL,142.9497248
OGAGEJ,142.8237928
HUSQES,142.5188299
XALTEK,142.3410756
ISIKIF,142.1779913
ALAMUW,142.1227662
HIFTUM,141.6284059
ILOJEZ,141.4369915
TIQGIK,140.9827861
IWELIG,140.3043477
FAKGOP,139.8518951
KOBPUN,139.8189134
IZUMUM,139.6581515
GIZVER,139.5965992
ZIMJOW,139.3666667
DEZKAW,139.1753012
TACPAP,139.1602132
PASNEE,139.1042375
UKIQIP,137.8870076
LADHEF,137.8034664
EKOPOK,137.3859477
SUJNUH,136.2705399
ISACIP,134.8997129
PASTOU,134.5057861
QADBII,134.3254503
EHUCOA,134.2361549
MULQOA,134.1720575
REYCOP,134.142332
EBIHII,133.9516909
HAXJEX,133.892567
UKUBUY,133.8072944
LEZLAF,133.6025032
VEXVAW,133.537131
PAKXIK,133.5211292
AVIPAX,132.6180572
UVEVAT,132.5652106
QISRIV,132.1553671
QEBGAH,132.094801
KAVTUY,131.7957555
ALUKIC,131.2911724
RUBHOM,131.1255167
BIBBUL,130.8683013
WEDQED,130.8100618
LUQGAG,130.6559447
HEZKIH,129.7182474
OVIZID,129.6514544
BEYSEF,129.2745175
IJENER,127.3401643
CANRIU,126.1940586
ALIXUP,126.1469842
BUSGOM,125.9181872
COMGUH,125.0559996
UBACOR,124.355386
UCEXIK,123.716671
XIHSEN,123.6237282
CADPII,123.2005433
QUGBUQ,122.9007132
VEDFAN,122.323821
FAZZEM,121.9343608
NALWOO,121.6197527
REGLOG,121.0633913
GUJTOV,120.8388747
BANMAG,120.7003278
CANRUG,120.6124316
DAWDAI,120.4866798
FERHAN,119.6000642
TUTJAU,118.1494926
WIJDAV,116.6044778
DOCKOW,116.5738158
QURSEC,116.1625981
INESIE,115.8122873
CUNWEO,115.7929933
FEVDIV,115.6777912
JOVDON,114.9910169
ODODES,114.7915044
AVELOD,114.5188646
YURJUR,114.2770603
SERJUV,114.1610398
DEPXIG,113.9280901
WUTBES,112.7354385
BAZJIX,112.6329107
IBASEL,112.3298985
PELGOE,111.9521929
AMIWOJ,110.8482136
RAZYIC,110.8345066
AGARUW,110.5382948
GERPUP,109.8159819
PETWOC,109.7712475
REFTUT,109.5395629
PARNIH,109.2013281
WEVQOD,109.0601121
GAXGOD,108.9653983
ZAZBUZ,108.3528893
IBARUA,107.4902934
XOVXAI,106.6153703
ZEDRAD,106.1216385
WENKEH,104.7991243
NANMEW,103.9249219
AQALOU,99.9631381
HAKCIG,99.18663131
IXEQIL,98.90327061
ISUXAW,97.612009
FATKIW,97.27644298
LAZLEF,96.99761376
ILUGOM,96.96087446
XINWUO,96.72036935
ZEDROR,95.78593048
MAPFOY,95.63126638
EKOPIE,95.32273147
GALCAZ,94.6238171
EGATOW,94.17732788
YARGAB,93.95939858
VEQBID,92.26832848
RIBTAZ,91.90495638
YARKEJ,91.52129101
ABUWOJ,90.94122443
LUMDEC,90.02657767
XIPTIA,89.59557398
DEYLUQ,88.08716434
TADCAE,86.15539859
GERNOI,84.93162019
XILVIZ,84.29788566
YEGTAG,84.28569248
COYVES,82.73837131
XEZPUP,80.8445381
YUWKEH,80.29847003
LABGAY,77.90031482
RIWSUM,76.83278949
YUKKAR,74.53865884
ZEKRIS,74.39480903
ZEDHIB,74.09512733
SULKIU,73.14312141
ISENUQ,72.60353233
LABPUB,67.3741737
KENJEU,67.3375882
YAYLER,67.33627769
DIZQOT,65.95991226
XUNHAQ,65.68698933
WOLMUG,62.72134607
ALUJIB,61.94596086
XAKVIP,61.83850244
ALUJOH,61.77374505
KIPJIE,56.07963299
ZETPUL,51.74358559
ZERQOE,49.12367578
ZEZQEC,48.67268715
